x;y;z
-0.1169588;-0.6338693;3.652656
-0.2729262;-0.5159004;3.324281
-0.2719762;-0.519075;3.330089
-0.2730019;-0.5169711;3.324338
-0.2685112;-0.5180497;3.345022
-0.2896041;-0.4669141;3.243233
-0.4880129;-0.2625527;3.161811
-0.4893279;-0.2605669;3.162316
-0.4890191;-0.2667687;3.162287
-0.4872535;-0.2603061;3.161466
-0.5549792;-0.2301717;3.188614
-0.5535904;-0.1942373;3.187486
-0.5580657;-0.189052;3.189231
-0.5493316;-0.1846913;3.1856
-0.5697631;-0.201104;3.194189
-0.5938913;-0.2141238;3.202531
-0.5938913;-0.2141238;3.202531
-0.5938913;-0.2141238;3.202531
-0.5938913;-0.2141238;3.202531
-0.5938913;-0.2141238;3.202531
-0.6065693;-0.255629;3.206017
-0.6150637;-0.2632666;3.208411
-0.6105856;-0.2754607;3.207294
-0.6222385;-0.2468573;3.210505
-0.6429991;-0.2314985;3.208553
-0.6195641;-0.130219;3.211127
-0.6043159;-0.1443996;3.196276
-0.6426176;-0.1644416;3.179607
-0.6065776;-0.2345999;3.205795
-0.6444324;-0.2659948;3.217185
-0.6791349;-0.2311323;3.140588
-1.351458;-0.1808541;4.328992
-1.437891;-0.3979229;4.312117
-1.437891;-0.3979229;4.312117
-1.437891;-0.3979229;4.312117
-1.437893;-0.3979237;4.312125
-1.437893;-0.3979237;4.312125
-1.437893;-0.3979237;4.312125
-1.437893;-0.3979237;4.312125
-1.437893;-0.3979237;4.312125
-1.437893;-0.3979237;4.312125
-1.437893;-0.3979237;4.312125
-1.437893;-0.3979237;4.312125
-1.437893;-0.3979237;4.312125
-1.437893;-0.3979237;4.312125
-1.437893;-0.3979237;4.312125
-1.437893;-0.3979237;4.312125
-1.437893;-0.3979237;4.312125
-1.437893;-0.3979237;4.312125
-1.437893;-0.3979237;4.312125
-1.437893;-0.3979237;4.312125
 ; ; 
 ; ; 
 ; ; 
 ; ; 
 ; ; 
 ; ; 
1.921708;-1.2231;1.131235
1.921708;-1.2231;1.131235
2.552778;-1.610045;1.684323
2.507245;-1.610646;1.672979
2.507245;-1.610646;1.672979
2.659856;-1.605756;2.157797
2.560818;-1.603761;2.203814
2.450902;-1.583683;2.079075
2.405998;-1.602334;1.972093
2.47886;-1.598819;2.234208
2.493751;-1.593137;2.320883
2.493751;-1.593137;2.320883
2.454824;-1.589422;2.325062
2.424926;-1.591459;2.26225
2.427633;-1.591835;2.261458
2.427633;-1.591835;2.261458
2.467732;-1.595986;2.257408
2.416855;-1.59637;2.170535
2.430727;-1.582019;2.123383
2.441604;-1.579087;2.12687
2.497487;-1.599641;2.244072
2.485913;-1.59696;2.264906
2.477002;-1.597708;2.246013
2.56724;-1.602615;2.273159
2.590928;-1.603136;2.298282
2.628091;-1.604887;2.252852
2.640718;-1.604984;2.196947
2.656311;-1.60519;2.154049
2.661928;-1.605413;2.183738
2.690508;-1.606281;2.254334
2.690806;-1.605868;2.126569
2.492186;-1.587541;2.050396
2.601944;-1.604246;2.234723
2.641883;-1.605013;2.197883
2.698606;-1.606149;2.159273
2.710333;-1.606528;2.194967
2.642485;-1.604996;2.188451
2.700206;-1.606258;2.18152
2.478702;-1.435134;2.079035
2.48271;-1.447381;2.083497
2.700385;-1.606007;2.197366
2.640428;-1.604184;2.140884
2.649186;-1.604658;2.132777
2.64139;-1.604503;2.138722
2.658574;-1.604995;2.172253
2.645913;-1.604845;2.213121
2.632313;-1.604321;2.144613
2.66044;-1.604916;2.135045
 ; ; 
2.704249;-1.608986;2.163743
2.706466;-1.608887;2.175873
2.315421;-1.396194;2.000698
2.729365;-1.608622;2.150231
2.484577;-1.46134;2.072525
2.506945;-1.482815;2.043177
2.512754;-1.471795;2.036172
2.504417;-1.483546;2.045624
2.691612;-1.609298;2.145216
2.721144;-1.608802;2.142788
